heure;jour;trafic
00:00:00;dimanche;24
01:00:00;dimanche;24
02:00:00;dimanche;24
03:00:00;dimanche;0
04:00:00;dimanche;0
05:00:00;dimanche;0
06:00:00;dimanche;10
07:00:00;dimanche;20
08:00:00;dimanche;20
09:00:00;dimanche;20
10:00:00;dimanche;25
11:00:00;dimanche;30
12:00:00;dimanche;30
13:00:00;dimanche;30
14:00:00;dimanche;30
15:00:00;dimanche;30
16:00:00;dimanche;30
17:00:00;dimanche;30
18:00:00;dimanche;30
19:00:00;dimanche;30
20:00:00;dimanche;30
21:00:00;dimanche;27
22:00:00;dimanche;24
23:00:00;dimanche;24
00:00:00;jeudi;30
01:00:00;jeudi;30
02:00:00;jeudi;30
03:00:00;jeudi;0
04:00:00;jeudi;0
05:00:00;jeudi;0
06:00:00;jeudi;15
07:00:00;jeudi;30
08:00:00;jeudi;45
09:00:00;jeudi;60
10:00:00;jeudi;50
11:00:00;jeudi;40
12:00:00;jeudi;40
13:00:00;jeudi;40
14:00:00;jeudi;40
15:00:00;jeudi;40
16:00:00;jeudi;40
17:00:00;jeudi;50
18:00:00;jeudi;60
19:00:00;jeudi;60
20:00:00;jeudi;60
21:00:00;jeudi;45
22:00:00;jeudi;30
23:00:00;jeudi;30
01:00:00;lundi;30
02:00:00;lundi;30
03:00:00;lundi;0
04:00:00;lundi;0
05:00:00;lundi;0
06:00:00;lundi;15
07:00:00;lundi;30
08:00:00;lundi;45
09:00:00;lundi;60
10:00:00;lundi;50
11:00:00;lundi;40
12:00:00;lundi;40
13:00:00;lundi;40
14:00:00;lundi;40
15:00:00;lundi;40
16:00:00;lundi;40
17:00:00;lundi;50
18:00:00;lundi;60
19:00:00;lundi;60
20:00:00;lundi;60
21:00:00;lundi;45
22:00:00;lundi;30
23:00:00;lundi;30
00:00:00;lundi;24
00:00:00;mardi;30
01:00:00;mardi;30
02:00:00;mardi;30
03:00:00;mardi;0
04:00:00;mardi;0
05:00:00;mardi;0
06:00:00;mardi;15
07:00:00;mardi;30
08:00:00;mardi;45
09:00:00;mardi;60
10:00:00;mardi;50
11:00:00;mardi;40
12:00:00;mardi;40
13:00:00;mardi;40
14:00:00;mardi;40
15:00:00;mardi;40
16:00:00;mardi;40
17:00:00;mardi;50
18:00:00;mardi;60
19:00:00;mardi;60
20:00:00;mardi;60
21:00:00;mardi;45
22:00:00;mardi;30
23:00:00;mardi;30
00:00:00;mercredi;30
01:00:00;mercredi;30
02:00:00;mercredi;30
03:00:00;mercredi;0
04:00:00;mercredi;0
05:00:00;mercredi;0
06:00:00;mercredi;15
07:00:00;mercredi;30
08:00:00;mercredi;45
09:00:00;mercredi;60
10:00:00;mercredi;50
11:00:00;mercredi;40
12:00:00;mercredi;40
13:00:00;mercredi;40
14:00:00;mercredi;40
15:00:00;mercredi;40
16:00:00;mercredi;40
17:00:00;mercredi;50
18:00:00;mercredi;60
19:00:00;mercredi;60
20:00:00;mercredi;60
21:00:00;mercredi;45
22:00:00;mercredi;30
23:00:00;mercredi;30
00:00:00;samedi;30
01:00:00;samedi;24
02:00:00;samedi;24
03:00:00;samedi;0
04:00:00;samedi;0
05:00:00;samedi;0
06:00:00;samedi;10
07:00:00;samedi;20
08:00:00;samedi;22
09:00:00;samedi;24
10:00:00;samedi;32
11:00:00;samedi;40
12:00:00;samedi;40
13:00:00;samedi;40
14:00:00;samedi;40
15:00:00;samedi;40
16:00:00;samedi;40
17:00:00;samedi;40
18:00:00;samedi;40
19:00:00;samedi;40
20:00:00;samedi;40
21:00:00;samedi;32
22:00:00;samedi;24
23:00:00;samedi;24
00:00:00;vendredi;30
01:00:00;vendredi;30
02:00:00;vendredi;30
03:00:00;vendredi;0
04:00:00;vendredi;0
05:00:00;vendredi;0
06:00:00;vendredi;15
07:00:00;vendredi;30
08:00:00;vendredi;45
09:00:00;vendredi;60
10:00:00;vendredi;50
11:00:00;vendredi;40
12:00:00;vendredi;40
13:00:00;vendredi;40
14:00:00;vendredi;40
15:00:00;vendredi;40
16:00:00;vendredi;40
17:00:00;vendredi;50
18:00:00;vendredi;60
19:00:00;vendredi;60
20:00:00;vendredi;60
21:00:00;vendredi;45
22:00:00;vendredi;30
23:00:00;vendredi;30